LADCD,FRACD,YEAR
E07000067,E31000015,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000042,E31000004,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000054,E31000047,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000168,E31000027,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000107,E31000022,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000229,E31000037,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000068,E31000015,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000004,E31000004,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000048,E31000047,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000108,E31000022,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000169,E31000027,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000053,E31000039,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000069,E31000015,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000005,E31000004,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000049,E31000047,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000150,E31000028,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000109,E31000022,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000001,E31000040,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000070,E31000015,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000050,E31000047,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000151,E31000028,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000006,E31000004,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000110,E31000022,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000002,E31000040,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000071,E31000015,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000051,E31000047,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000007,E31000004,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000152,E31000028,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
